,sentence,category,subcategory,domain,id,audio_quality,prosody_1,meaning_1,translation_1,audio_1,prosody_2,meaning_2,translation_2,audio_2
628,Scientists discussed contemporary theories about galaxies and stars.,Prosodic Breaks,Modifier Scope,Scientific Research Papers,20885,2,Scientists discussed *contemporary* theories about galaxies and stars.,Contemporary refers to both galaxies and stars. (broad scope),科学者たちは銀河や星に関する現代の理論を議論した。,data/prosodic_breaks/wavs/20885/20885_1_0.wav,Scientists discussed *contemporary* theories about galaxies <pause> and *stars*.,Contemporary refers only to galaxies. (narrow scope),科学者たちは銀河についての現代の理論と星についての理論を議論した。,data/prosodic_breaks/wavs/20885/20885_2_2.wav
629,Reporters investigate serious crimes and accidents.,Prosodic Breaks,Modifier Scope,Journalism,20888,2,Reporters investigate *serious* crimes and accidents.,Serious refers to both crimes and accidents. (broad scope),記者は重大な犯罪や事故を調査します。,data/prosodic_breaks/wavs/20888/20888_1_1.wav,Reporters investigate *serious* crimes <pause> and *accidents*.,Serious refers only to crimes. (narrow scope),記者は深刻な犯罪や事故を調査します。,data/prosodic_breaks/wavs/20888/20888_2_3.wav
630,Journalists cover important events and meetings.,Prosodic Breaks,Modifier Scope,Journalism,20889,2,Journalists cover *important* events and meetings.,Important refers to both events and meetings. (broad scope),ジャーナリストは重要な出来事や会議を取材する。,data/prosodic_breaks/wavs/20889/20889_1_4.wav,Journalists cover *important* events <pause> and *meetings*.,Important refers only to events. (narrow scope),ジャーナリストは重要な出来事や重要な会議を取材する。,data/prosodic_breaks/wavs/20889/20889_2_1.wav
631,Columnists write daily articles and opinions.,Prosodic Breaks,Modifier Scope,Journalism,20891,1,Columnists write *daily* articles and opinions.,Daily refers to both articles and opinions. (broad scope),コラムニストは日々記事や意見を書いています。,data/prosodic_breaks/wavs/20891/20891_1_0.wav,Columnists write *daily* articles <pause> and *opinions*.,Daily refers only to articles. (narrow scope),コラムニストは日々記事を、意見を書いています。,data/prosodic_breaks/wavs/20891/20891_2_2.wav
632,The magazine features global trends and patterns.,Prosodic Breaks,Modifier Scope,Journalism,20893,2,The magazine features *global* trends and patterns.,Global refers to both trends and patterns. (broad scope),その雑誌では世界的なトレンドとパターンが特集されています。,data/prosodic_breaks/wavs/20893/20893_1_4.wav,The magazine features *global* trends <pause> and *patterns*.,Global refers only to trends. (narrow scope),その雑誌ではグローバルなトレンドとパターンが特集されています。,data/prosodic_breaks/wavs/20893/20893_2_3.wav
633,The team analyzes economic policies and strategies.,Prosodic Breaks,Modifier Scope,Journalism,20894,2,The team analyzes *economic* policies and strategies.,Economic refers to both policies and strategies. (broad scope),チームは経済に関する政策や戦略を分析します。,data/prosodic_breaks/wavs/20894/20894_1_4.wav,The team analyzes *economic* policies <pause> and *strategies*.,Economic refers only to policies. (narrow scope),チームは経済政策と戦略を分析します。,data/prosodic_breaks/wavs/20894/20894_2_2.wav
634,The poem evokes strong emotions and responses.,Prosodic Breaks,Modifier Scope,Literary Analysis,20896,2,The poem evokes *strong* emotions and responses.,Strong refers to both emotions and responses. (broad scope),詩は強烈な感情と反応を引き起こす,data/prosodic_breaks/wavs/20896/20896_1_3.wav,The poem evokes *strong* emotions <pause> and *responses*.,Strong refers only to emotions. (narrow scope),詩は強い感情と反応を引き起こす,data/prosodic_breaks/wavs/20896/20896_2_2.wav
635,The critic appreciates nuanced themes and characters.,Prosodic Breaks,Modifier Scope,Literary Analysis,20899,2,The critic appreciates *nuanced* themes and characters.,Nuanced refers to both themes and characters. (broad scope),批評家は繊細なテーマとキャラクターを評価します。,data/prosodic_breaks/wavs/20899/20899_1_4.wav,The critic appreciates *nuanced* themes <pause> and *characters*.,Nuanced refers only to themes. (narrow scope),批評家は繊細なテーマやキャラクターを評価します。,data/prosodic_breaks/wavs/20899/20899_2_5.wav
636,The essay explores cultural influences and landscapes.,Prosodic Breaks,Modifier Scope,Literary Analysis,20902,2,The essay explores *cultural* influences and landscapes.,Cultural refers to both influences and landscapes. (broad scope),エッセイは文化的な影響と風景を探ります。,data/prosodic_breaks/wavs/20902/20902_1_3.wav,The essay explores *cultural* influences <pause> and *landscapes*.,Cultural refers only to influences. (narrow scope),エッセイは文化的影響と風景について探ります。,data/prosodic_breaks/wavs/20902/20902_2_0.wav
637,He criticizes new policies and practices.,Prosodic Breaks,Modifier Scope,Public Speaking,20906,1,He criticizes *new* policies and practices.,New refers to both policies and practices. (broad scope),彼は新たな政策と実践を批判している,data/prosodic_breaks/wavs/20906/20906_1_1.wav,He criticizes *new* policies <pause> and *practices*.,New refers only to policies. (narrow scope),彼は新たな政策とそのやり方を批判している,data/prosodic_breaks/wavs/20906/20906_2_0.wav
638,He emphasized new strategies and tactics.,Prosodic Breaks,Modifier Scope,Public Speaking,20910,1,He emphasized *new* strategies and tactics.,New refers to both strategies and tactics. (broad scope),彼は新しい戦略と戦術を強調しました,data/prosodic_breaks/wavs/20910/20910_1_4.wav,He emphasized *new* strategies <pause> and *tactics*.,New refers only to strategies. (narrow scope),彼は新たな戦略と戦術そのものを強調しました,data/prosodic_breaks/wavs/20910/20910_2_1.wav
639,She discussed innovative solutions and ideas.,Prosodic Breaks,Modifier Scope,Public Speaking,20912,2,She discussed *innovative* solutions and ideas.,Innovative refers to both solutions and ideas. (broad scope),彼女は革新的な解決策とアイデアについて話し合いました。,data/prosodic_breaks/wavs/20912/20912_1_0.wav,She discussed *innovative* solutions <pause> and *ideas*.,Innovative refers only to solutions. (narrow scope),彼女は革新的な解決策とその他のアイデアについて話し合いました。,data/prosodic_breaks/wavs/20912/20912_2_0.wav
640,The presentation focused on educational programs and techniques.,Prosodic Breaks,Modifier Scope,Public Speaking,20913,2,The presentation focused on *educational* programs and techniques.,Educational refers to both programs and techniques. (broad scope),プレゼンテーションは教育プログラムと手法に焦点を当てました。,data/prosodic_breaks/wavs/20913/20913_1_3.wav,The presentation focused on *educational* programs <pause> and *techniques*.,Educational refers only to programs. (narrow scope),プレゼンテーションは教育に関するプログラムと手法に焦点を当てました。,data/prosodic_breaks/wavs/20913/20913_2_4.wav
641,He spoke about technological advances and improvements.,Prosodic Breaks,Modifier Scope,Public Speaking,20914,2,He spoke about *technological* advances and improvements.,Technological refers to both advances and improvements. (broad scope),彼は技術的な進歩と改善について話しました。,data/prosodic_breaks/wavs/20914/20914_1_3.wav,He spoke about *technological* advances <pause> and *improvements*.,Technological refers only to advances. (narrow scope),彼は技術の進歩と技術の改善について話しました。,data/prosodic_breaks/wavs/20914/20914_2_3.wav
642,She reviewed recent developments and trends.,Prosodic Breaks,Modifier Scope,Public Speaking,20915,2,She reviewed *recent* developments and trends.,Recent refers to both developments and trends. (broad scope),彼女は最近の動向と傾向を見直しました。,data/prosodic_breaks/wavs/20915/20915_1_3.wav,She reviewed *recent* developments <pause> and *trends*.,Recent refers only to developments. (narrow scope),彼女は最近の動向と傾向をそれぞれ見直しました。,data/prosodic_breaks/wavs/20915/20915_2_5.wav
643,She provided helpful suggestions for students and teachers.,Prosodic Breaks,Modifier Scope,Teaching/Education,20917,2,She provided *helpful* suggestions for students and teachers.,Helpful refers to suggestions for both students and teachers. (broad scope),彼女は生徒や教師のために役立つ提案をした。,data/prosodic_breaks/wavs/20917/20917_1_2.wav,She provided *helpful* suggestions for students <pause> and *teachers*.,Helpful refers to suggestions only for students. (narrow scope),彼女は生徒のために役立つ提案と教師のための提案をした。,data/prosodic_breaks/wavs/20917/20917_2_2.wav
644,She received excellent reviews from students and parents.,Prosodic Breaks,Modifier Scope,Teaching/Education,20921,2,She received *excellent* reviews from students and parents.,Excellent refers to reviews from both students and parents. (broad scope),彼女は学生と親から素晴らしい評価を受けました,data/prosodic_breaks/wavs/20921/20921_1_5.wav,She received *excellent* reviews from students <pause> and *parents*.,Excellent refers to reviews only from students. (narrow scope),彼女は学生から素晴らしい評価を受け、親から評価を受けました,data/prosodic_breaks/wavs/20921/20921_2_2.wav
645,The librarian ordered new books and journals.,Prosodic Breaks,Modifier Scope,Teaching/Education,20922,2,The librarian ordered *new* books and journals.,New refers to both books and journals. (broad scope),司書は新しい本と新しい雑誌を注文しました。,data/prosodic_breaks/wavs/20922/20922_1_1.wav,The librarian ordered *new* books <pause> and *journals*.,New refers only to books. (narrow scope),司書は新しい本と雑誌を注文しました。,data/prosodic_breaks/wavs/20922/20922_2_0.wav
646,She reviewed the scientific papers and journals.,Prosodic Breaks,Modifier Scope,Editing and Proofreading,20927,2,She reviewed the *scientific* papers and journals.,Scientific refers to both papers and journals. (broad scope),彼女は科学論文と学術誌を見直しました。,data/prosodic_breaks/wavs/20927/20927_1_2.wav,She reviewed the *scientific* papers <pause> and *journals*.,Scientific refers only to papers. (narrow scope),彼女は科学論文と学術誌を別々に見直しました。,data/prosodic_breaks/wavs/20927/20927_2_2.wav
647,The reviewer noted the important figures and graphs.,Prosodic Breaks,Modifier Scope,Editing and Proofreading,20930,2,The reviewer noted the *important* figures and graphs.,Important refers to both figures and graphs. (broad scope),レビュー者は重要な数値とグラフに注目した,data/prosodic_breaks/wavs/20930/20930_1_5.wav,The reviewer noted the *important* figures <pause> and *graphs*.,Important refers only to figures. (narrow scope),レビュー者は重要な数値と、グラフに注目した,data/prosodic_breaks/wavs/20930/20930_2_2.wav
648,We need to clarify the ambiguous sentences and paragraphs.,Prosodic Breaks,Modifier Scope,Editing and Proofreading,20931,1,We need to clarify the *ambiguous* sentences and paragraphs.,Ambiguous refers to both sentences and paragraphs. (broad scope),私たちは曖昧な文章と段落を明確にする必要があります。,data/prosodic_breaks/wavs/20931/20931_1_1.wav,We need to clarify the *ambiguous* sentences <pause> and *paragraphs*.,Ambiguous refers only to sentences. (narrow scope),私たちは曖昧な文章と段落をそれぞれ明確にする必要があります。,data/prosodic_breaks/wavs/20931/20931_2_4.wav
649,The proofreader highlighted the incorrect spellings and punctuations.,Prosodic Breaks,Modifier Scope,Editing and Proofreading,20932,2,The proofreader highlighted the *incorrect* spellings and punctuations.,Incorrect refers to both spellings and punctuations. (broad scope),証読者は誤ったスペリングと句読点を指摘しました,data/prosodic_breaks/wavs/20932/20932_1_1.wav,The proofreader highlighted the *incorrect* spellings <pause> and *punctuations*.,Incorrect refers only to spellings. (narrow scope),証読者は誤ったスペリングと句読点を指摘し、句読点を強調しました,data/prosodic_breaks/wavs/20932/20932_2_0.wav
651,The team verified the quoted sources and statistics.,Prosodic Breaks,Modifier Scope,Editing and Proofreading,20934,2,The team verified the *quoted* sources and statistics.,Quoted refers to both sources and statistics. (broad scope),チームは引用された情報源と統計を確認しました。,data/prosodic_breaks/wavs/20934/20934_1_4.wav,The team verified the *quoted* sources <pause> and *statistics*.,Quoted refers only to sources. (narrow scope),チームは引用された情報源および統計を確認しました。,data/prosodic_breaks/wavs/20934/20934_2_2.wav
653,There are new regulations for external auditors and consultants.,Prosodic Breaks,Modifier Scope,Business Reports,20941,2,There are *new* regulations for external auditors and consultants.,New refers to both external auditors and consultants. (broad scope),外部監査人やコンサルタントのための新しい規制があります。,data/prosodic_breaks/wavs/20941/20941_1_5.wav,There are *new* regulations for external auditors <pause> and *consultants*.,New refers only to external auditors. (narrow scope),外部監査人に対する新しい規制とコンサルタントに対する規制があります。,data/prosodic_breaks/wavs/20941/20941_2_2.wav
654,We anticipate higher revenues and profits.,Prosodic Breaks,Modifier Scope,Business Reports,20942,2,We anticipate *higher* revenues and profits.,Higher refers to both revenues and profits. (broad scope),収益も利益も増加すると見込んでいます。,data/prosodic_breaks/wavs/20942/20942_1_3.wav,We anticipate *higher* revenues <pause> and *profits*.,Higher refers only to revenues. (narrow scope),収益と利益の増加を見込んでいます。,data/prosodic_breaks/wavs/20942/20942_2_5.wav
656,They are looking for reliable contractors and suppliers.,Prosodic Breaks,Modifier Scope,Grant Proposals,20948,2,They are looking for *reliable* contractors and suppliers.,Reliable refers to both contractors and suppliers. (broad scope),彼らは信頼できる請負業者と供給業者を探しています,data/prosodic_breaks/wavs/20948/20948_1_5.wav,They are looking for *reliable* contractors <pause> and *suppliers*.,Reliable refers only to contractors. (narrow scope),彼らは信頼できる請負業者と、供給業者を探しています,data/prosodic_breaks/wavs/20948/20948_2_5.wav
657,The team developed practical solutions and guidelines.,Prosodic Breaks,Modifier Scope,Grant Proposals,20950,1,The team developed *practical* solutions and guidelines.,Practical refers to both solutions and guidelines. (broad scope),チームは実用的な解決策と実用的な指針を作成しました,data/prosodic_breaks/wavs/20950/20950_1_2.wav,The team developed *practical* solutions <pause> and *guidelines*.,Practical refers only to solutions. (narrow scope),チームは実用的な解決策と指針を作成しました,data/prosodic_breaks/wavs/20950/20950_2_1.wav
658,They propose advanced models and simulations.,Prosodic Breaks,Modifier Scope,Grant Proposals,20951,2,They propose *advanced* models and simulations.,Advanced refers to both models and simulations. (broad scope),彼らは高度なモデルとシミュレーションを提案します,data/prosodic_breaks/wavs/20951/20951_1_4.wav,They propose *advanced* models <pause> and *simulations*.,Advanced refers only to models. (narrow scope),彼らは高度なモデルとシミュレーションの両方を提案します,data/prosodic_breaks/wavs/20951/20951_2_3.wav
659,We are seeking experienced analysts and consultants.,Prosodic Breaks,Modifier Scope,Grant Proposals,20953,2,We are seeking *experienced* analysts and consultants.,Experienced refers to both analysts and consultants. (broad scope),私たちは経験豊富なアナリストとコンサルタントを求めています。,data/prosodic_breaks/wavs/20953/20953_1_3.wav,We are seeking *experienced* analysts <pause> and *consultants*.,Experienced refers only to analysts. (narrow scope),私たちは経験豊富なアナリストとコンサルタントの両方を求めています。,data/prosodic_breaks/wavs/20953/20953_2_2.wav
660,This system requires updated databases and networks.,Prosodic Breaks,Modifier Scope,Grant Proposals,20955,2,This system requires *updated* databases and networks.,Updated refers to both databases and networks. (broad scope),このシステムは更新されたデータベースおよびネットワークを必要とします。,data/prosodic_breaks/wavs/20955/20955_1_3.wav,This system requires *updated* databases <pause> and *networks*.,Updated refers only to databases. (narrow scope),このシステムは更新されたデータベースとネットワークを必要とします。,data/prosodic_breaks/wavs/20955/20955_2_0.wav
661,They will audit financial reports and statements.,Prosodic Breaks,Modifier Scope,Policy Documents,20962,2,They will audit *financial* reports and statements.,Financial refers to both reports and statements. (broad scope),彼らは財務報告書および声明を監査します。,data/prosodic_breaks/wavs/20962/20962_1_3.wav,They will audit *financial* reports <pause> and *statements*.,Financial refers only to reports. (narrow scope),彼らは財務報告書と声明をそれぞれ監査します。,data/prosodic_breaks/wavs/20962/20962_2_2.wav
662,They are reviewing employee benefits and compensations.,Prosodic Breaks,Modifier Scope,Policy Documents,20965,2,They are reviewing *employee* benefits and compensations.,Employee refers to both benefits and compensations. (broad scope),彼らは従業員の福利厚生と報酬を見直しています。,data/prosodic_breaks/wavs/20965/20965_1_3.wav,They are reviewing *employee* benefits <pause> and *compensations*.,Employee refers only to benefits. (narrow scope),彼らは従業員に対する福利厚生と報酬を見直しています。,data/prosodic_breaks/wavs/20965/20965_2_5.wav
663,They studied medieval texts and manuscripts.,Prosodic Breaks,Modifier Scope,Historical Writing,20967,2,They studied *medieval* texts and manuscripts.,Medieval refers to both texts and manuscripts. (broad scope),彼らは中世の文書と写本を研究しました。,data/prosodic_breaks/wavs/20967/20967_1_4.wav,They studied *medieval* texts <pause> and *manuscripts*.,Medieval refers only to texts. (narrow scope),彼らは中世の文書や写本を研究しました。,data/prosodic_breaks/wavs/20967/20967_2_2.wav
664,They analyzed historical records and letters.,Prosodic Breaks,Modifier Scope,Historical Writing,20969,1,They analyzed *historical* records and letters.,Historical refers to both records and letters. (broad scope),彼らは歴史的な記録や歴史的な手紙を分析しました,data/prosodic_breaks/wavs/20969/20969_1_4.wav,They analyzed *historical* records <pause> and *letters*.,Historical refers only to records. (narrow scope),彼らは歴史的な記録や手紙を分析しました,data/prosodic_breaks/wavs/20969/20969_2_5.wav
665,She studied Renaissance paintings and sculptures.,Prosodic Breaks,Modifier Scope,Historical Writing,20972,2,She studied *renaissance* paintings and sculptures.,Renaissance refers to both paintings and sculptures. (broad scope),彼女はルネサンスの絵画とルネサンスの彫刻を研究した。,data/prosodic_breaks/wavs/20972/20972_1_3.wav,She studied *renaissance* paintings <pause> and *sculptures*.,Renaissance refers only to paintings. (narrow scope),彼女はルネサンスの絵画と彫刻を研究した。,data/prosodic_breaks/wavs/20972/20972_2_3.wav
666,They reviewed ancient laws and decrees.,Prosodic Breaks,Modifier Scope,Historical Writing,20973,2,They reviewed *ancient* laws and decrees.,Ancient refers to both laws and decrees. (broad scope),彼らは古代の法律と古代の法令を見直しました。,data/prosodic_breaks/wavs/20973/20973_1_2.wav,They reviewed *ancient* laws <pause> and *decrees*.,Ancient refers only to laws. (narrow scope),彼らは古代の法律と法令を見直しました。,data/prosodic_breaks/wavs/20973/20973_2_0.wav
667,The museum features ancient tools and weapons.,Prosodic Breaks,Modifier Scope,Historical Writing,20974,2,The museum features *ancient* tools and weapons.,Ancient refers to both tools and weapons. (broad scope),博物館には古代の道具と兵器が展示されています。,data/prosodic_breaks/wavs/20974/20974_1_0.wav,The museum features *ancient* tools <pause> and *weapons*.,Ancient refers only to tools. (narrow scope),博物館には古代の道具と武器が展示されています。,data/prosodic_breaks/wavs/20974/20974_2_1.wav
669,The study focused on pediatric cases and adults.,Prosodic Breaks,Modifier Scope,Medical Writing,20977,2,The study focused on *pediatric* cases and adults.,Pediatric refers to both cases and adults. (broad scope),その研究は小児症例と大人に焦点を当てた。,data/prosodic_breaks/wavs/20977/20977_1_2.wav,The study focused on *pediatric* cases <pause> and *adults*.,Pediatric refers only to cases. (narrow scope),その研究は小児症例と大人にそれぞれ焦点を当てた。,data/prosodic_breaks/wavs/20977/20977_2_2.wav
670,This diet is effective for hypertensive patients and individuals.,Prosodic Breaks,Modifier Scope,Medical Writing,20978,2,This diet is effective for *hypertensive* patients and individuals.,Hypertensive refers to both patients and individuals. (broad scope),この食事療法は高血圧患者および個人に効果的です,data/prosodic_breaks/wavs/20978/20978_1_4.wav,This diet is effective for *hypertensive* patients <pause> and *individuals*.,Hypertensive refers only to patients. (narrow scope),この食事療法は高血圧患者と個人に効果的です,data/prosodic_breaks/wavs/20978/20978_2_2.wav
671,Researchers studied chronic conditions in elderly men and women.,Prosodic Breaks,Modifier Scope,Medical Writing,20979,2,Researchers studied *chronic* conditions in elderly men and women.,Chronic refers to conditions in both elderly men and women. (broad scope),研究者たちは高齢の男性と女性の慢性的な病状を研究しました。,data/prosodic_breaks/wavs/20979/20979_1_3.wav,Researchers studied *chronic* conditions in elderly men <pause> and *women*.,Chronic refers to conditions in elderly men only. (narrow scope),研究者たちは高齢の男性の慢性的な病状と女性の病状を研究しました。,data/prosodic_breaks/wavs/20979/20979_2_5.wav
672,We analyzed respiratory diseases in young males and females.,Prosodic Breaks,Modifier Scope,Medical Writing,20981,2,We analyzed *respiratory* diseases in young males and females.,Respiratory refers to diseases in both young males and females. (broad scope),私たちは若い男性と女性における呼吸器疾患を分析しました。,data/prosodic_breaks/wavs/20981/20981_1_3.wav,We analyzed *respiratory* diseases in young males <pause> and *females*.,Respiratory refers to diseases in young males only. (narrow scope),私たちは若い男性と女性の呼吸器疾患を分析しました。,data/prosodic_breaks/wavs/20981/20981_2_0.wav
673,The guidelines are essential for overweight teenagers and adults.,Prosodic Breaks,Modifier Scope,Medical Writing,20982,2,The guidelines are essential for *overweight* teenagers and adults.,Overweight refers to both teenagers and adults. (broad scope),このガイドラインは、肥満のティーンエイジャーと成人にとってそれぞれ不可欠です。,data/prosodic_breaks/wavs/20982/20982_1_3.wav,The guidelines are essential for *overweight* teenagers <pause> and *adults*.,Overweight refers only to teenagers. (narrow scope),このガイドラインは、肥満のティーンエイジャーおよび成人にとって不可欠です。,data/prosodic_breaks/wavs/20982/20982_2_2.wav
674,The committee reviewed detailed reports and summaries.,Prosodic Breaks,Modifier Scope,Government Reports,20986,2,The committee reviewed *detailed* reports and summaries.,Detailed refers to both reports and summaries. (broad scope),委員会は詳細な報告書と要約を精査しました,data/prosodic_breaks/wavs/20986/20986_1_5.wav,The committee reviewed *detailed* reports <pause> and *summaries*.,Detailed refers only to reports. (narrow scope),委員会は詳細な報告書と要約をそれぞれ精査しました,data/prosodic_breaks/wavs/20986/20986_2_4.wav
675,They analyzed annual reports and findings.,Prosodic Breaks,Modifier Scope,Government Reports,20988,2,They analyzed *annual* reports and findings.,Annual refers to both reports and findings. (broad scope),彼らは年次報告書と年次調査結果を分析しました。,data/prosodic_breaks/wavs/20988/20988_1_1.wav,They analyzed *annual* reports <pause> and *findings*.,Annual refers only to reports. (narrow scope),彼らは年次報告書と調査結果を分析しました。,data/prosodic_breaks/wavs/20988/20988_2_1.wav
676,The survey captured recent opinions and trends.,Prosodic Breaks,Modifier Scope,Government Reports,20989,2,The survey captured *recent* opinions and trends.,Recent refers to both opinions and trends. (broad scope),調査では最近の意見や最近の動向が把握されました。,data/prosodic_breaks/wavs/20989/20989_1_3.wav,The survey captured *recent* opinions <pause> and *trends*.,Recent refers only to opinions. (narrow scope),調査では最近の意見や動向が把握されました。,data/prosodic_breaks/wavs/20989/20989_2_2.wav
678,The agenda covered important projects and policies.,Prosodic Breaks,Modifier Scope,Government Reports,20994,1,The agenda covered *important* projects and policies.,Important refers to both projects and policies. (broad scope),議題には重要なプロジェクトと方針が含まれていました。,data/prosodic_breaks/wavs/20994/20994_1_1.wav,The agenda covered *important* projects <pause> and *policies*.,Important refers only to projects. (narrow scope),議題には重要なプロジェクトと重要な方針が含まれていました。,data/prosodic_breaks/wavs/20994/20994_2_4.wav
679,Clean the dirty filters and vents.,Prosodic Breaks,Modifier Scope,User Manuals,20997,2,Clean the *dirty* filters and vents.,Dirty refers to both filters and vents. (broad scope),汚れたフィルターと通気口を掃除してください。,data/prosodic_breaks/wavs/20997/20997_1_0.wav,Clean the *dirty* filters <pause> and *vents*.,Dirty refers only to filters. (narrow scope),汚れたフィルターと通気口をそれぞれ掃除してください。,data/prosodic_breaks/wavs/20997/20997_2_5.wav
680,Clean the old screens and lenses.,Prosodic Breaks,Modifier Scope,User Manuals,20999,2,Clean the *old* screens and lenses.,Old refers to both screens and lenses. (broad scope),古いスクリーンとレンズを掃除してください。,data/prosodic_breaks/wavs/20999/20999_1_1.wav,Clean the *old* screens <pause> and *lenses*.,Old refers only to screens. (narrow scope),古いスクリーンとレンズをきれいにしてください。,data/prosodic_breaks/wavs/20999/20999_2_2.wav
681,Inspect the rusty bolts and screws.,Prosodic Breaks,Modifier Scope,User Manuals,21002,1,Inspect the *rusty* bolts and screws.,Rusty refers to both bolts and screws. (broad scope),錆びたボルトとネジを調査してください。,data/prosodic_breaks/wavs/21002/21002_1_2.wav,Inspect the *rusty* bolts <pause> and *screws*.,Rusty refers only to bolts. (narrow scope),錆びたボルトとネジをそれぞれ調査してください。,data/prosodic_breaks/wavs/21002/21002_2_0.wav
682,Clean the clogged nozzles and hoses.,Prosodic Breaks,Modifier Scope,User Manuals,21005,2,Clean the *clogged* nozzles and hoses.,Clogged refers to both nozzles and hoses. (broad scope),詰まったノズルとホースを掃除してください。,data/prosodic_breaks/wavs/21005/21005_1_3.wav,Clean the *clogged* nozzles <pause> and *hoses*.,Clogged refers only to nozzles. (narrow scope),詰まったノズルとホースも掃除してください。,data/prosodic_breaks/wavs/21005/21005_2_3.wav
683,Our company offers new solutions and services.,Prosodic Breaks,Modifier Scope,Marketing Copy,21006,2,Our company offers *new* solutions and services.,New refers to both solutions and services. (broad scope),我が社は新しいソリューションとサービスを提供します。,data/prosodic_breaks/wavs/21006/21006_1_3.wav,Our company offers *new* solutions <pause> and *services*.,New refers only to solutions. (narrow scope),我が社は新しいソリューションとサービスの両方を提供します。,data/prosodic_breaks/wavs/21006/21006_2_3.wav
684,They launched specialized programs and apps.,Prosodic Breaks,Modifier Scope,Marketing Copy,21009,1,They launched *specialized* programs and apps.,Specialized refers to both programs and apps. (broad scope),彼らは専門的なプログラムや専門的なアプリを立ち上げました。,data/prosodic_breaks/wavs/21009/21009_1_1.wav,They launched *specialized* programs <pause> and *apps*.,Specialized refers only to programs. (narrow scope),彼らは専門的なプログラムやアプリを立ち上げました。,data/prosodic_breaks/wavs/21009/21009_2_0.wav
686,We guarantee fast deliveries and responses.,Prosodic Breaks,Modifier Scope,Marketing Copy,21014,2,We guarantee *fast* deliveries and responses.,Fast refers to both deliveries and responses. (broad scope),私たちは迅速な配送と返信を保証します,data/prosodic_breaks/wavs/21014/21014_1_1.wav,We guarantee *fast* deliveries <pause> and *responses*.,Fast refers only to deliveries. (narrow scope),私たちは迅速な配送と対応を保証します,data/prosodic_breaks/wavs/21014/21014_2_3.wav
687,They published articles written by renowned professors and researchers.,Prosodic Breaks,Modifier Scope,News Reporting,21019,2,They published articles written by *renowned* professors and researchers.,Renowned refers to both professors and researchers. (broad scope),彼らは著名な教授や研究者によって書かれた記事を発表しました。,data/prosodic_breaks/wavs/21019/21019_1_3.wav,They published articles written by *renowned* professors <pause> and *researchers*.,Renowned refers only to professors. (narrow scope),彼らは著名な教授と研究者によって書かれた記事を発表しました。,data/prosodic_breaks/wavs/21019/21019_2_2.wav
688,The reporter spoke to local business owners and politicians.,Prosodic Breaks,Modifier Scope,News Reporting,21020,2,The reporter spoke to *local* business owners and politicians.,Local refers to both business owners and politicians. (broad scope),レポーターは地元のビジネスオーナーと政治家に話を聞いた,data/prosodic_breaks/wavs/21020/21020_1_0.wav,The reporter spoke to *local* business owners <pause> and *politicians*.,Local refers only to business owners. (narrow scope),レポーターは地元のビジネスオーナーと政治家に個別に話を聞いた,data/prosodic_breaks/wavs/21020/21020_2_3.wav
689,The scheme was criticized by environmentalists and residents.,Prosodic Breaks,Modifier Scope,News Reporting,21021,2,The scheme was criticized by *environmentalists* and residents.,Criticism comes from both environmentalists and residents. (broad scope),計画は環境保護主義者だけでなく、住民によっても批判されました,data/prosodic_breaks/wavs/21021/21021_1_3.wav,The scheme was criticized by *environmentalists* <pause> and *residents*.,Criticism comes only from environmentalists. (narrow scope),計画は環境保護主義者および住民によって批判されました,data/prosodic_breaks/wavs/21021/21021_2_3.wav
690,The speech resonated with young activists and students.,Prosodic Breaks,Modifier Scope,News Reporting,21024,2,The speech resonated with *young* activists and students.,Young refers to both activists and students. (broad scope),演説は若い活動家や学生に共鳴した。,data/prosodic_breaks/wavs/21024/21024_1_3.wav,The speech resonated with *young* activists <pause> and *students*.,Young refers only to activists. (narrow scope),演説は若い活動家と学生に共鳴した。,data/prosodic_breaks/wavs/21024/21024_2_3.wav
691,The project was praised by influential critics and viewers.,Prosodic Breaks,Modifier Scope,News Reporting,21025,2,The project was praised by *influential* critics and viewers.,Influential refers to both critics and viewers. (broad scope),プロジェクトは影響力のある批評家や視聴者に高く評価されました,data/prosodic_breaks/wavs/21025/21025_1_0.wav,The project was praised by *influential* critics <pause> and *viewers*.,Influential refers only to critics. (narrow scope),プロジェクトは影響力のある批評家と視聴者に高く評価されました,data/prosodic_breaks/wavs/21025/21025_2_0.wav
692,They invited experienced writers and editors.,Prosodic Breaks,Modifier Scope,Speech Writing,21027,2,They invited *experienced* writers and editors.,Experienced refers to both writers and editors. (broad scope),彼らは経験豊富な作家と編集者の両方を招待しました。,data/prosodic_breaks/wavs/21027/21027_1_2.wav,They invited *experienced* writers <pause> and *editors*.,Experienced refers only to writers. (narrow scope),彼らは経験豊富な作家と編集者をそれぞれ招待しました。,data/prosodic_breaks/wavs/21027/21027_2_2.wav
693,The company hired creative designers and engineers.,Prosodic Breaks,Modifier Scope,Speech Writing,21029,2,The company hired *creative* designers and engineers.,Creative refers to both designers and engineers. (broad scope),会社はクリエイティブなデザイナーとエンジニアを採用しました。,data/prosodic_breaks/wavs/21029/21029_1_4.wav,The company hired *creative* designers <pause> and *engineers*.,Creative refers only to designers. (narrow scope),会社はクリエイティブなデザイナーと、有能なエンジニアを採用しました。,data/prosodic_breaks/wavs/21029/21029_2_2.wav
